,,Bayonetta,Cloud,Sheik,Diddy Kong,Sonic,Rosalina & Luma,Zero Suit Samus,Fox,Mewtwo,Corrin,Pikachu,Ryu,Meta Knight,Marth,Mario,Lucina,Greninja,Olimar,Mega Man,Peach,Lucas,Villager,Yoshi,Toon Link,Shulk,Lucario,Luigi,Samus,Pit,Dark Pit,Captain Falcon,Bowser,Duck Hunt,R.O.B.,Link,Ness,Mr. Game & Watch,Palutena,Donkey Kong,Robin,Roy,Ike,PAC-MAN,Wario,Little Mac,Bowser Jr.,Falco,Charizard,Dr. Mario,Kirby,Zelda,King Dedede,Wii Fit Trainer,Ganondorf,Jigglypuff,Overall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayonetta,,-,-0.1,-0.1,-0.1,0.8,0.9,1.1,1.3,0.8,0.8,0,0.9,1.2,0.6,0.8,0.8,0.9,1.2,0.9,1.3,0.6,1.7,1.8,0.8,2.3,0.8,0.9,1.6,1.3,1.3,1.8,1.5,1.7,2.5,1.6,1.2,1.2,1.9,1.7,2.2,1.8,1.8,1.7,2.1,2.1,1.5,2.1,2.4,1.9,1.6,2.4,2.9,2,3,2.5,76.2
Cloud,,0.1,-,-1.2,-0.3,0.8,1.5,1.2,0.8,1.1,1,-0.6,0.1,0.4,0.5,1.2,0.6,0.7,1.8,0.5,1.7,1.8,2,2.1,2,1,1.2,1,1.4,0.7,0.7,1.1,0.7,2,2,1,2,1.7,1.5,0.9,1.7,1.4,1.5,2.2,2.4,2,2,1.8,1,2.1,2,1.9,2.3,2.4,2.4,2.4,70.2
Sheik,,0.1,1.2,-,0.3,0.3,-0.3,0.8,0.9,0.9,1.3,-0.3,0.1,1.1,1,0.1,0.8,1.2,1.2,1.5,0.7,1.4,0.9,1.4,1,2.3,0.4,1,1.5,1.2,1.2,1.6,0.8,1.5,1.7,1.8,2,1.2,2.3,1,1.5,2,2,1.2,1.5,1.1,1.7,1.7,1.7,1.5,0.7,1.7,2.2,2,2.8,1,65.4
Diddy Kong,,0.1,0.3,-0.3,-,-0.2,-0.7,1.7,-0.4,1,1.3,-0.3,1.3,1.5,1.4,-0.1,1.4,1.3,0,-0.4,1.6,1.9,0.8,2,1.1,2.3,0.1,0.3,1.7,1.2,1.2,0.9,0.9,0.6,1.9,1.2,1.6,2.1,2.2,1.9,2.4,2.4,2.1,-0.3,1.6,1.7,2,1.5,2.3,1.9,2,2.3,2.9,2.1,2.7,2.4,68.4
Sonic,,-0.8,-0.8,-0.3,0.2,-,-0.3,-0.1,-0.4,-0.4,0,0.4,1.4,1.4,0.8,1.4,1.2,1.1,0.9,-0.1,1.1,1.6,0.5,1.2,0.9,1.6,0.2,1.1,0.9,1.4,1.4,0.5,1.2,1.1,1.2,1.5,1.7,2.5,1.8,2.1,1.1,1.5,1.4,1.3,2,2,1.1,1.1,1.9,2.4,2.7,2.3,2.6,1.5,2.8,2.5,61.3
Rosalina & Luma,,-0.9,-1.5,0.3,0.7,0.3,-,-0.6,0.4,-0.2,-0.4,0.2,1.7,-1.1,0.5,0.3,0.6,0.4,0.2,0.8,0.3,1.1,1.3,1.1,0.7,1.2,1.1,2.1,1.1,0.8,0.7,0.3,2,1.1,1.9,1,2.2,1.7,1.1,2.8,1.9,0.8,1.3,1.5,0.8,1.6,2.3,0.6,1.9,2.1,2.6,1.6,2.1,2.3,2.6,1.9,55.2
Zero Suit Samus,,-1.1,-1.2,-0.8,-1.7,0.1,0.6,-,-0.2,0.3,0.4,-1.4,-0.1,0.6,0.5,0.5,0.3,-0.2,-0.4,0.8,0.7,0.2,0.2,0.9,0.4,1.1,1.3,1,1.1,1.6,1.6,0.8,2,0.6,2.4,1,0.9,1.1,1.3,1.8,2,0.6,1.4,1.5,1.8,0.8,2,0.9,2.5,1.4,0.7,1.8,2.8,0.7,2.3,1.8,44
Fox,,-1.3,-0.8,-0.9,0.4,0.4,-0.4,0.2,-,0.4,1,-0.3,-1.1,1,0.5,0,0.6,1,1.9,1.7,0.2,0.9,0.7,0.4,0.6,1.8,1.1,-0.5,2,0.7,0.7,0.7,0.9,0.8,1.6,1,0.1,1,1.8,1.5,1.5,1.1,1.2,1.4,1.6,0.9,1.3,0.6,1.4,0.9,0.2,1.6,2.1,1.7,1.8,1.4,43
Mewtwo,,-0.8,-1.1,-0.9,-1,0.4,0.2,-0.3,-0.4,-,0.3,1,0.4,0.2,0.7,0.2,0.5,0.2,1.1,1,0.4,0.7,1.6,0.9,1,1.1,0.7,1.9,1.3,0.8,0.8,0.5,1.2,0.9,1.8,0.2,0.8,0.8,0.8,0.4,2.2,0.1,1.1,1.5,2,0.8,1.5,0.2,1,1.4,2.1,1.6,1.9,2.4,2.4,2.1,44.6
Corrin,,-0.8,-1,-1.3,-1.3,0,0.4,-0.4,-1,-0.3,-,0.4,-0.3,0.1,-0.1,0.5,0,0.2,1.5,0.6,0.8,1.4,1.4,1.3,0.9,0.7,0.7,0.5,-0.3,1.3,1.3,-0.3,0.5,1.2,1,0.7,2.1,1.6,0.6,0.4,1.2,0.4,0.7,1,1.2,0.5,1.4,1.1,1.4,1.6,2.3,1.5,1.7,2,1.7,2.1,36.8
Pikachu,,0,0.6,0.3,0.3,-0.4,-0.2,1.4,0.3,-1,-0.4,-,0.6,0.2,0.5,-1.5,0.5,0.3,0.4,1.1,0,-0.5,0.3,0.1,0.2,1.3,-0.3,0.3,2.1,0.4,0.4,2,0.5,1,1,0.7,-1.3,-0.4,1,0.5,1.3,2,1,0.7,1,1.6,0.9,2.3,0.9,0.3,1.1,1.1,1.8,2.5,2.7,1,34.5
Ryu,,-0.9,-0.1,-0.1,-1.3,-1.4,-1.7,0.1,1.1,-0.4,0.3,-0.6,-,0.8,-0.2,0.6,0.1,0,0.3,-0.8,0.2,0.1,-0.4,0.5,0.5,0.4,0.5,0.3,-0.5,0.4,0.4,1.1,0.7,-0.2,0.9,0.9,0.1,0.8,1.2,0.6,0.6,1.2,1.1,0.1,1,0.9,1.2,0.7,1.8,1.4,0.6,0.8,1.5,0.8,2,2,22
Meta Knight,,-1.2,-0.4,-1.1,-1.5,-1.4,1.1,-0.6,-1,-0.2,-0.1,-0.2,-0.8,-,0.9,-1.4,1.1,-0.3,0.5,-0.8,1.8,-0.1,1.1,1.6,0.8,0.6,0.5,-0.1,1.7,1.4,1.4,-0.2,0.6,-0.6,0.9,0.6,0.9,1.5,1.6,0.9,0.4,0.9,0.9,1.1,1.2,0.4,0.3,0.7,1.1,0.5,2.2,1.9,1.5,1.7,2,2.6,28.9
Marth,,-0.6,-0.5,-1,-1.4,-0.8,-0.5,-0.5,-0.5,-0.7,0.1,-0.5,0.2,-0.9,-,0.8,0.2,0.1,-0.1,0.6,1,0.9,1,0.7,0.6,0.3,0.4,0.5,0.5,0,0,0.5,-0.6,1.1,0.9,0.5,2,1,0.2,-0.5,1.3,0.8,0.7,1.1,1.3,1.5,0.8,1.1,0.6,1.8,1.9,1.3,0.9,1.5,2,2,25.6
Mario,,-0.8,-1.2,-0.1,0.1,-1.4,-0.3,-0.5,0,-0.2,-0.5,1.5,-0.6,1.4,-0.8,-,-0.8,-0.2,0.5,1.4,0,-0.1,0.7,0.2,0.9,0.3,0.7,-0.2,0.2,-0.2,-0.2,1.1,-0.2,0.1,1.3,1.2,0.6,0.1,-0.1,-0.3,1.4,0.8,0.9,1.3,0.6,0.7,1.5,1.9,0.5,0.6,1.2,1,1.3,1.6,1.2,2,22.1
Lucina,,-0.8,-0.6,-0.8,-1.4,-1.2,-0.6,-0.3,-0.6,-0.5,0,-0.5,-0.1,-1.1,-0.2,0.8,-,0.4,-0.1,0.3,0.8,0.8,0.9,0.7,0.5,0.5,0.5,0.5,0.3,0.1,0.1,0.3,-0.7,1,0.7,0.4,1.8,0.9,0.5,-0.4,1.1,0.9,0.6,1.1,1.6,1.6,0.7,1.1,0.3,1.6,1.8,1.5,0.8,1.6,2,1.9,23.1
Greninja,,-0.9,-0.7,-1.2,-1.3,-1.1,-0.4,0.2,-1,-0.2,-0.2,-0.3,0,0.3,-0.1,0.2,-0.4,-,0.2,0,0.1,1.1,0.4,0.2,0.1,0.5,0.4,1.1,0.8,0.2,0.2,0.2,0.5,-0.1,0.5,0.8,0.5,1.4,0.7,-0.1,1.1,0.8,1,1.4,0.3,0.4,0.6,0.8,0.8,0.7,1.2,1.2,1.2,1.3,2.3,1.3,19
Olimar,,-1.2,-1.8,-1.2,0,-0.9,-0.2,0.4,-1.9,-1.1,-1.5,-0.4,-0.3,-0.5,0.1,-0.5,0.1,-0.2,-,0.3,-0.9,0.2,0.5,-1,0.2,-1,-0.1,-0.2,1.6,0.2,0.1,0.2,0,1,0,0.7,-0.4,1.1,0.7,0.9,1.2,1.2,0.7,0.9,0.5,0.5,1.6,0.3,1.2,0.6,1.5,1.5,2.5,2.3,1.7,1.5,12.7
Mega Man,,-0.9,-0.5,-1.5,0.4,0.1,-0.8,-0.8,-1.7,-1,-0.6,-1.1,0.8,0.8,-0.6,-1.4,-0.3,0,-0.3,-,0.5,0.2,0.7,0,0,0.1,-1.2,1.6,0.8,0.1,0.2,0.2,0.4,0.8,0.8,0,1.4,0.7,-0.1,1.3,0.7,0.5,0.8,0,0.4,0.1,0.9,0,1.4,0.4,0.3,1,2.6,1.1,1.8,1.5,12.6
Peach,,-1.3,-1.7,-0.7,-1.6,-1.1,-0.3,-0.7,-0.2,-0.4,-0.8,0,-0.2,-1.8,-1,0,-0.8,-0.1,0.9,-0.5,-,0.3,-0.3,-0.5,-0.1,-0.4,0.5,-0.1,-0.1,0.3,0.3,0.1,0.7,-0.2,0.3,0.4,0.8,0.2,0.5,0.7,0.1,-0.1,0.3,0.4,0.7,1.8,0.7,0.9,0.7,1.3,1,1.3,1,0.8,1.5,1.3,4.8
Lucas,,-0.6,-1.8,-1.4,-1.9,-1.6,-1.1,-0.2,-0.9,-0.7,-1.4,0.5,-0.1,0.1,-0.9,0.1,-0.8,-1.1,-0.2,-0.2,-0.3,-,0.3,0.1,0.1,-0.3,0.2,0.5,0.3,0.1,0.1,-0.6,0,-0.5,0.4,0.6,0.5,1,0.4,0.6,0.4,0.3,0.5,0,0.6,1.3,1,1,1.1,0.8,1.1,0.6,1.1,2,0.9,1.5,3.5
Villager,,-1.7,-2,-0.9,-0.8,-0.5,-1.3,-0.2,-0.7,-1.6,-1.4,-0.3,0.4,-1.1,-1,-0.7,-0.9,-0.4,-0.5,-0.7,0.3,-0.3,-,-0.4,0.3,0.4,-0.7,0.2,0.9,-0.2,-0.2,0.5,0.6,0.3,0.9,-0.1,1.2,-1,-1.6,0.9,1.4,0.7,0.9,1.3,0.9,0.9,2.1,-0.6,0.6,0.6,0.5,0.9,2,2.2,2.1,0.9,3.1
Yoshi,,-1.8,-2.1,-1.4,-2,-1.2,-1.1,-0.9,-0.4,-0.9,-1.3,-0.1,-0.5,-1.6,-0.7,-0.2,-0.7,-0.2,1,0,0.5,-0.1,0.4,-,0.2,0.1,-0.2,-0.1,0.1,0.2,0.2,0.1,0.1,0.3,1,0.3,0.3,0.3,0.7,0.8,0.4,-0.1,0.1,0.2,0.8,0.2,0.5,0.7,0.7,1.1,1.8,1.1,1.9,1,1.2,2.1,2.8
Toon Link,,-0.8,-2,-1,-1.1,-0.9,-0.7,-0.4,-0.6,-1,-0.9,-0.2,-0.5,-0.8,-0.6,-0.9,-0.5,-0.1,-0.2,0,0.1,-0.1,-0.3,-0.2,-,-0.1,-0.5,0,0.1,0,0,0.5,0.8,0.2,0.5,-0.1,0.3,1.4,0.1,1.8,1,0.8,0.6,0.4,0.4,1,1.4,0.8,0.9,0.5,1.7,1.4,1.7,1.4,1.5,2,8.8
Shulk,,-2.3,-1,-2.3,-2.3,-1.6,-1.2,-1.1,-1.8,-1.1,-0.7,-1.3,-0.4,-0.6,-0.3,-0.3,-0.5,-0.5,1,-0.1,0.4,0.3,-0.4,-0.1,0.1,-,-0.1,0.4,-0.3,0.1,0.1,-0.4,-0.6,0.7,0.1,0.1,0.9,0.5,0.5,-0.4,0.3,0.1,0.1,0.8,1.5,0.8,1.1,0.1,0.1,1.6,0.8,1.2,1.1,1.3,1.7,2.1,-1.8
Lucario,,-0.8,-1.2,-0.4,-0.1,-0.2,-1.1,-1.3,-1.1,-0.7,-0.7,0.3,-0.5,-0.5,-0.4,-0.7,-0.5,-0.4,0.1,1.2,-0.5,-0.2,0.7,0.2,0.5,0.1,-,0.8,0.4,1.3,1.3,-0.4,-0.6,0.8,0.2,0.4,-1.2,-0.1,-0.2,-0.9,0.5,0.4,-0.4,0.9,-1.4,0.3,0.1,0.5,0.2,-0.3,1.1,0.3,1,0.5,1.3,0.9,-0.5
Luigi,,-0.9,-1,-1,-0.3,-1.1,-2.1,-1,0.5,-1.9,-0.5,-0.3,-0.3,0.1,-0.5,0.2,-0.5,-1.1,0.2,-1.6,0.1,-0.5,-0.2,0.1,0,-0.4,-0.8,-,-0.8,0.2,0.2,0.2,0,-0.3,-0.3,-0.3,0.8,0.2,-0.4,0.5,0.4,0.9,0.3,-0.5,0.2,-0.3,0.7,2.1,0.4,1.1,2,0.8,1.1,1.1,1.7,0.9,-1.9
Samus,,-1.6,-1.4,-1.5,-1.7,-0.9,-1.1,-1.1,-2,-1.3,0.3,-2.1,0.5,-1.7,-0.5,-0.2,-0.3,-0.8,-1.6,-0.8,0.1,-0.3,-0.9,-0.1,-0.1,0.3,-0.4,0.8,-,0.2,0.2,-0.3,0.7,-1.3,0.4,0.3,0.6,0,-1,0.9,1,0.2,0.8,1,0.6,0.8,0.9,0.5,1.3,0.9,0.4,1,1.8,1.3,1.8,1.5,-3.9
Pit,,-1.3,-0.7,-1.2,-1.2,-1.4,-0.8,-1.6,-0.7,-0.8,-1.3,-0.4,-0.4,-1.4,0,0.2,-0.1,-0.2,-0.2,-0.1,-0.3,-0.1,0.2,-0.2,0,-0.1,-1.3,-0.2,-0.2,-,0,-1,0,-0.2,0,0.3,1,0.2,0.9,-0.1,0.3,0.5,1,0.3,0.2,0.3,0,1.1,0.9,1,1.2,1.8,0.8,1.5,1,1.4,-1.4
Dark Pit,,-1.3,-0.7,-1.2,-1.2,-1.4,-0.7,-1.6,-0.7,-0.8,-1.3,-0.4,-0.4,-1.4,0,0.2,-0.1,-0.2,-0.1,-0.2,-0.3,-0.1,0.2,-0.2,0,-0.1,-1.3,-0.2,-0.2,0,-,-1,0,-0.3,0,0.3,1,0.2,0.9,-0.1,0.3,0.4,1,0.3,0.1,0.3,0,1.1,0.9,1,1.2,1.8,0.8,1.5,1,1.4,-1.6
Captain Falcon,,-1.8,-1.1,-1.6,-0.9,-0.5,-0.3,-0.8,-0.7,-0.5,0.3,-2,-1.1,0.2,-0.5,-1.1,-0.3,-0.2,-0.2,-0.2,-0.1,0.6,-0.5,-0.1,-0.5,0.4,0.4,-0.2,0.3,1,1,-,0.2,0.1,0.2,0.3,-0.1,-1.3,0.6,0.2,0.4,0.3,1.3,0.5,0.6,0.4,0.2,0.4,1,1.4,-1.3,1.1,1.3,0.8,1.9,-0.2,-0.7
Bowser,,-1.5,-0.7,-0.8,-0.9,-1.2,-2,-2,-0.9,-1.2,-0.5,-0.5,-0.7,-0.6,0.6,0.2,0.7,-0.5,0,-0.4,-0.7,0,-0.6,-0.1,-0.8,0.6,0.6,0,-0.7,0,0,-0.2,-,-1.1,-0.3,0.8,0.2,1.2,0.2,0.5,-0.8,0.5,0.5,-0.1,0.1,0.4,-0.3,0.3,0.4,1.6,1.3,0.7,0.6,0.8,1,1.3,-5
Duck Hunt,,-1.7,-2,-1.5,-0.6,-1.1,-1.1,-0.6,-0.8,-0.9,-1.2,-1,0.2,0.6,-1.1,-0.1,-1,0.1,-1,-0.8,0.2,0.5,-0.3,-0.3,-0.2,-0.7,-0.8,0.3,1.3,0.2,0.3,-0.1,1.1,-,-0.6,-0.9,0.3,0.4,-0.2,1.3,0.9,0.2,0.2,0.4,-0.3,0.6,0.8,-0.3,1,0.3,1.1,0.9,2.2,2.3,1.7,1.1,-0.7
R.O.B.,,-2.5,-2,-1.7,-1.9,-1.2,-1.9,-2.4,-1.6,-1.8,-1,-1,-0.9,-0.9,-0.9,-1.3,-0.7,-0.5,0,-0.8,-0.3,-0.4,-0.9,-1,-0.5,-0.1,-0.2,0.3,-0.4,0,0,-0.2,0.3,0.6,-,0.8,-0.3,-0.4,-0.8,1.1,0,0.2,0.6,1,1.4,0,0.3,-0.8,0.7,0.4,0.8,0.7,1.7,1.4,1.3,1.3,-16.4
Link,,-1.6,-1,-1.8,-1.2,-1.5,-1,-1,-1,-0.2,-0.7,-0.7,-0.9,-0.6,-0.5,-1.2,-0.4,-0.8,-0.7,0,-0.4,-0.6,0.1,-0.3,0.1,-0.1,-0.4,0.3,-0.3,-0.3,-0.3,-0.3,-0.8,0.9,-0.8,-,-0.5,0.4,-0.2,0,0.3,0.1,0.1,0.4,0,0.6,0.4,0.5,-0.4,0.7,0.4,0.8,1.1,0.5,1.4,1.7,-11.7
Ness,,-1.2,-2,-2,-1.6,-1.7,-2.2,-0.9,-0.1,-0.8,-2.1,1.3,-0.1,-0.9,-2,-0.6,-1.8,-0.5,0.4,-1.4,-0.8,-0.5,-1.2,-0.3,-0.3,-0.9,1.2,-0.8,-0.6,-1,-1,0.1,-0.2,-0.3,0.3,0.5,-,-0.5,0.5,-0.2,0.4,0.4,0,0.2,0.6,1,0.6,0.3,0.4,0.6,0.9,0.7,1.1,2,1.3,1.2,-14.5
Mr. Game & Watch,,-1.2,-1.7,-1.2,-2.1,-2.5,-1.7,-1.1,-1,-0.8,-1.6,0.4,-0.8,-1.5,-1,-0.1,-0.9,-1.4,-1.1,-0.7,-0.2,-1,1,-0.3,-1.4,-0.5,0.1,-0.2,0,-0.2,-0.2,1.3,-1.2,-0.4,0.4,-0.4,0.5,-,0.1,0.1,0,-0.3,0,0.3,0.4,0.3,-0.8,0.8,-0.3,0.6,0.8,0.4,1,1.6,1.1,2.3,-16.3
Palutena,,-1.9,-1.5,-2.3,-2.2,-1.8,-1.1,-1.3,-1.8,-0.8,-0.6,-1,-1.2,-1.6,-0.2,0.1,-0.5,-0.7,-0.7,0.1,-0.5,-0.4,1.6,-0.7,-0.1,-0.5,0.2,0.4,1,-0.9,-0.9,-0.6,-0.2,0.2,0.8,0.2,-0.5,-0.1,-,0.4,0.2,-0.4,-0.3,0.7,0.2,-1.3,0.2,-0.5,0.6,0.8,-0.3,0.9,0.7,0.8,1.5,1.3,-16.5
Donkey Kong,,-1.7,-0.9,-1,-1.9,-2.1,-2.8,-1.8,-1.5,-0.4,-0.4,-0.5,-0.6,-0.9,0.5,0.3,0.4,0.1,-0.9,-1.3,-0.7,-0.6,-0.9,-0.8,-1.8,0.4,0.9,-0.5,-0.9,0.1,0.1,-0.2,-0.5,-1.3,-1.1,0,0.2,-0.1,-0.4,-,-1.2,0.7,0.4,-1.4,0.6,0.7,-0.3,0.4,-0.1,1.9,1.5,0.7,0.8,0.7,2.1,1.8,-16.2
Robin,,-2.2,-1.7,-1.5,-2.4,-1.1,-1.9,-2,-1.5,-2.2,-1.2,-1.3,-0.6,-0.4,-1.3,-1.4,-1.1,-1.1,-1.2,-0.7,-0.1,-0.4,-1.4,-0.4,-1,-0.3,-0.5,-0.4,-1,-0.3,-0.3,-0.4,0.8,-0.9,0,-0.3,-0.4,0,-0.2,1.2,-,0,-0.2,0.8,0.2,-0.3,0.8,-0.3,1,-0.3,-0.1,0.4,1.8,0.3,1.6,1.6,-25.8
Roy,,-1.8,-1.4,-2,-2.4,-1.5,-0.8,-0.6,-1.1,-0.1,-0.4,-2,-1.2,-0.9,-0.8,-0.8,-0.9,-0.8,-1.2,-0.5,0.1,-0.3,-0.7,0.1,-0.8,-0.1,-0.4,-0.9,-0.2,-0.5,-0.4,-0.3,-0.5,-0.2,-0.2,-0.1,-0.4,0.3,0.4,-0.7,0,-,0.2,0.4,0.6,0.5,0.2,-0.1,0.5,0.7,0.4,0.4,0.4,0.3,0.8,1.1,-20.6
Ike,,-1.8,-1.5,-2,-2.1,-1.4,-1.3,-1.4,-1.2,-1.1,-0.7,-1,-1.1,-0.9,-0.7,-0.9,-0.6,-1,-0.7,-0.8,-0.3,-0.5,-0.9,-0.1,-0.6,-0.1,0.4,-0.3,-0.8,-1,-1,-1.3,-0.5,-0.2,-0.6,-0.1,0,0,0.3,-0.4,0.2,-0.2,-,0.5,0.8,-0.2,-0.2,0.1,0.5,1.6,0.5,0.9,0.9,0.7,1.1,1.2,-21.8
PAC-MAN,,-1.7,-2.2,-1.2,0.3,-1.3,-1.5,-1.5,-1.4,-1.5,-1,-0.7,-0.1,-1.1,-1.1,-1.3,-1.1,-1.4,-0.9,0,-0.4,0,-1.3,-0.2,-0.4,-0.8,-0.9,0.5,-1,-0.3,-0.3,-0.5,0.1,-0.4,-1,-0.4,-0.2,-0.3,-0.7,1.4,-0.8,-0.4,-0.5,-,-0.9,1.8,0.3,-0.3,0.3,-0.4,0.7,0.3,0.8,0.2,1.2,1.2,-24.3
Wario,,-2.1,-2.4,-1.5,-1.6,-2,-0.8,-1.8,-1.6,-2,-1.2,-1,-1,-1.2,-1.3,-0.6,-1.6,-0.3,-0.5,-0.4,-0.7,-0.6,-0.9,-0.8,-0.4,-1.5,1.4,-0.2,-0.6,-0.2,-0.1,-0.6,-0.1,0.3,-1.4,0,-0.6,-0.4,-0.2,-0.6,-0.2,-0.6,-0.8,0.9,-,0.7,0.3,-0.2,0.8,0.4,0.9,0.3,0.9,0.7,0.5,1,-27.5
Little Mac,,-2.1,-2,-1.1,-1.7,-2,-1.6,-0.8,-0.9,-0.8,-0.5,-1.6,-0.9,-0.4,-1.5,-0.7,-1.6,-0.4,-0.5,-0.1,-1.8,-1.3,-0.9,-0.2,-1,-0.8,-0.3,0.3,-0.8,-0.3,-0.3,-0.4,-0.4,-0.6,0,-0.6,-1,-0.3,1.3,-0.7,0.3,-0.5,0.2,-1.8,-0.7,-,0,0,-0.1,0.6,0.2,1.2,0.2,0.5,1,1.3,-28.9
Bowser Jr.,,-1.5,-2,-1.7,-2,-1.1,-2.3,-2,-1.3,-1.5,-1.4,-0.9,-1.2,-0.3,-0.8,-1.5,-0.7,-0.6,-1.6,-0.9,-0.7,-1,-2.1,-0.5,-1.4,-1.1,-0.1,-0.7,-0.9,0,0,-0.2,0.3,-0.8,-0.3,-0.4,-0.6,0.8,-0.2,0.3,-0.8,-0.2,0.2,-0.3,-0.3,0,-,0.6,0.5,1,0.5,0.3,2,0.3,1.1,-0.1,-30.1
Falco,,-2.1,-1.8,-1.7,-1.5,-1.1,-0.6,-0.9,-0.6,-0.2,-1.1,-2.3,-0.7,-0.7,-1.1,-1.9,-1.1,-0.8,-0.3,0,-0.9,-1,0.6,-0.7,-0.8,-0.1,-0.5,-2.1,-0.5,-1.1,-1.1,-0.4,-0.3,0.3,0.8,-0.5,-0.3,-0.8,0.5,-0.4,0.3,0.1,-0.1,0.3,0.2,0,-0.6,-,-0.6,-0.3,-0.5,0.7,1,1.5,0.9,0.2,-26.7
Charizard,,-2.4,-1,-1.7,-2.3,-1.9,-1.9,-2.5,-1.4,-1,-1.4,-0.9,-1.8,-1.1,-0.6,-0.5,-0.3,-0.8,-1.2,-1.4,-0.7,-1.1,-0.6,-0.7,-0.9,-0.1,-0.2,-0.4,-1.3,-0.9,-0.9,-1,-0.4,-1,-0.7,0.4,-0.4,0.3,-0.6,0.1,-1,-0.5,-0.5,-0.3,-0.8,0.1,-0.5,0.6,-,1.9,0.3,0.4,0.3,0,0.4,0.9,-35.9
Dr. Mario,,-1.9,-2.1,-1.5,-1.9,-2.4,-2.1,-1.4,-0.9,-1.4,-1.6,-0.3,-1.4,-0.5,-1.8,-0.6,-1.6,-0.7,-0.6,-0.4,-1.3,-0.8,-0.6,-1.1,-0.5,-1.6,0.3,-1.1,-0.9,-1,-1,-1.4,-1.6,-0.3,-0.4,-0.7,-0.6,-0.6,-0.8,-1.9,0.3,-0.7,-1.6,0.4,-0.4,-0.6,-1,0.3,-1.9,-,0.5,0.6,0.1,0.8,-0.6,0.6,-46.2
Kirby,,-1.6,-2,-0.7,-2,-2.7,-2.6,-0.7,-0.2,-2.1,-2.3,-1.1,-0.6,-2.2,-1.9,-1.2,-1.8,-1.2,-1.5,-0.3,-1,-1.1,-0.5,-1.8,-1.7,-0.8,-1.1,-2,-0.4,-1.2,-1.2,1.3,-1.3,-1.1,-0.8,-0.4,-0.9,-0.8,0.3,-1.5,0.1,-0.4,-0.5,-0.7,-0.9,-0.2,-0.5,0.5,-0.3,-0.5,-,0.6,-0.6,2.1,-0.2,0.4,-47.8
Zelda,,-2.4,-1.9,-1.7,-2.3,-2.3,-1.6,-1.8,-1.6,-1.6,-1.5,-1.1,-0.8,-1.9,-1.3,-1,-1.5,-1.2,-1.5,-1,-1.3,-0.6,-0.9,-1.1,-1.4,-1.2,-0.3,-0.8,-1,-1.8,-1.8,-1.1,-0.7,-0.9,-0.7,-0.8,-0.7,-0.4,-0.9,-0.7,-0.4,-0.4,-0.9,-0.3,-0.3,-1.2,-0.3,-0.7,-0.4,-0.6,-0.6,-,0.4,0.1,0.5,0.6,-53.6
King Dedede,,-2.9,-2.3,-2.2,-2.9,-2.6,-2.1,-2.8,-2.1,-1.9,-1.7,-1.8,-1.5,-1.5,-0.9,-1.3,-0.8,-1.2,-2.5,-2.6,-1,-1.1,-2,-1.9,-1.7,-1.1,-1,-1.1,-1.8,-0.8,-0.8,-1.3,-0.6,-2.2,-1.7,-1.1,-1.1,-1,-0.7,-0.8,-1.8,-0.4,-0.9,-0.8,-0.9,-0.2,-2,-1,-0.3,-0.1,0.6,-0.4,-,-0.3,0.7,0.8,-69.4
Wii Fit Trainer,,-2,-2.4,-2,-2.1,-1.5,-2.3,-0.7,-1.7,-2.4,-2,-2.5,-0.8,-1.7,-1.5,-1.6,-1.6,-1.3,-2.3,-1.1,-0.8,-2,-2.2,-1,-1.4,-1.3,-0.5,-1.1,-1.3,-1.5,-1.5,-0.8,-0.8,-2.3,-1.4,-0.5,-2,-1.6,-0.8,-0.7,-0.3,-0.3,-0.7,-0.2,-0.7,-0.5,-0.3,-1.5,0,-0.8,-2.1,-0.1,0.3,-,0.7,0.1,-65.4
Ganondorf,,-3,-2.4,-2.8,-2.7,-2.8,-2.6,-2.3,-1.8,-2.4,-1.7,-2.7,-2,-2,-2,-1.2,-2,-2.3,-1.7,-1.8,-1.5,-0.9,-2.1,-1.2,-1.5,-1.7,-1.3,-1.7,-1.8,-1,-1,-1.9,-1,-1.7,-1.3,-1.4,-1.3,-1.1,-1.5,-2.1,-1.6,-0.8,-1.1,-1.2,-0.5,-1,-1.1,-0.9,-0.4,0.6,0.2,-0.5,-0.7,-0.7,-,0,-80.9
Jigglypuff,,-2.5,-2.4,-1,-2.4,-2.5,-1.9,-1.8,-1.4,-2.1,-2.1,-1,-2,-2.6,-2,-2,-1.9,-1.3,-1.5,-1.5,-1.3,-1.5,-0.9,-2.1,-2,-2.1,-0.9,-0.9,-1.5,-1.4,-1.4,0.2,-1.3,-1.1,-1.3,-1.7,-1.2,-2.3,-1.3,-1.8,-1.6,-1.1,-1.2,-1.2,-1,-1.3,0.1,-0.2,-0.9,-0.6,-0.4,-0.6,-0.8,-0.1,0,-,-74.6
